lead_id,industry,region,job_seniority,company_size,lead_source
5000,Retail,North America,Entry,1000+,Google Ads
5001,Education,MEA,Manager,1000+,Webinar
5002,Healthcare,North America,Manager,10-50,LinkedIn
5003,Education,MEA,Entry,51-200,Organic
5004,Education,North America,Entry,51-200,Google Ads
5005,Finance,North America,Manager,1000+,Google Ads
5006,Healthcare,Europe,Entry,10-50,Google Ads
5007,Healthcare,MEA,Entry,51-200,LinkedIn
5008,Healthcare,North America,C-Level,51-200,Google Ads
5009,Education,MEA,Manager,51-200,Referral
5010,Retail,Europe,Manager,10-50,Referral
5011,Healthcare,Europe,Manager,1000+,Google Ads
5012,Education,MEA,Manager,1000+,Referral
5013,Finance,Europe,Manager,1000+,Organic
5014,Retail,APAC,Manager,201-1000,Referral
5015,Finance,APAC,Director,201-1000,Google Ads
5016,Retail,Europe,Entry,201-1000,Webinar
5017,Education,APAC,Manager,10-50,Organic
5018,Tech,North America,Manager,51-200,LinkedIn
5019,Retail,MEA,Director,51-200,Google Ads
5020,Finance,North America,Manager,10-50,LinkedIn
5021,Education,MEA,Manager,10-50,Webinar
5022,Retail,Europe,Entry,1000+,LinkedIn
5023,Tech,North America,Manager,1000+,Google Ads
5024,Tech,Europe,Entry,201-1000,Google Ads
5025,Healthcare,Europe,Manager,201-1000,Webinar
5026,Healthcare,MEA,Entry,10-50,Google Ads
5027,Finance,MEA,Manager,201-1000,Webinar
5028,Retail,MEA,Entry,51-200,Webinar
5029,Retail,North America,Manager,10-50,Google Ads
5030,Healthcare,APAC,Director,10-50,Referral
5031,Retail,MEA,Entry,51-200,Webinar
5032,Retail,MEA,Manager,1000+,Google Ads
5033,Tech,North America,Manager,1000+,Referral
5034,Healthcare,MEA,Entry,51-200,Webinar
5035,Education,North America,Director,51-200,Referral
5036,Healthcare,Europe,Entry,201-1000,Organic
5037,Education,MEA,Manager,10-50,Organic
5038,Tech,MEA,Manager,201-1000,Referral
5039,Finance,Europe,Manager,51-200,Webinar
5040,Retail,Europe,Manager,201-1000,Google Ads
5041,Tech,Europe,Entry,51-200,LinkedIn
5042,Retail,MEA,Entry,201-1000,Google Ads
5043,Finance,APAC,Director,201-1000,LinkedIn
5044,Finance,APAC,Manager,1000+,LinkedIn
5045,Tech,APAC,Director,51-200,Webinar
5046,Finance,MEA,Director,201-1000,Referral
5047,Education,Europe,Director,10-50,Google Ads
5048,Finance,MEA,Manager,201-1000,Referral
5049,Retail,Europe,Manager,201-1000,Organic
5050,Retail,MEA,Director,10-50,Webinar
5051,Retail,MEA,Manager,51-200,Webinar
5052,Retail,Europe,Entry,1000+,Organic
5053,Education,APAC,Director,1000+,Google Ads
5054,Healthcare,Europe,Director,1000+,Organic
5055,Tech,North America,Manager,10-50,Google Ads
5056,Retail,North America,Entry,201-1000,LinkedIn
5057,Finance,Europe,Manager,51-200,Webinar
5058,Retail,MEA,Director,201-1000,Google Ads
5059,Finance,North America,C-Level,1000+,Referral
5060,Finance,North America,Entry,201-1000,Referral
5061,Retail,MEA,Entry,10-50,Webinar
5062,Education,MEA,Director,10-50,Organic
5063,Finance,APAC,Manager,51-200,Organic
5064,Finance,MEA,Manager,51-200,Google Ads
5065,Retail,Europe,C-Level,1000+,Organic
5066,Finance,Europe,Entry,51-200,Webinar
5067,Finance,APAC,Manager,201-1000,Google Ads
5068,Retail,North America,Entry,10-50,LinkedIn
5069,Retail,North America,Manager,10-50,Organic
5070,Tech,MEA,Director,10-50,Organic
5071,Education,Europe,Manager,51-200,Google Ads
5072,Education,North America,C-Level,10-50,Referral
5073,Finance,APAC,Manager,10-50,Organic
5074,Education,APAC,Manager,10-50,Webinar
5075,Finance,Europe,Entry,1000+,Organic
5076,Tech,APAC,Manager,1000+,LinkedIn
5077,Retail,APAC,Manager,51-200,Organic
5078,Retail,Europe,Entry,10-50,Referral
5079,Retail,MEA,Manager,51-200,Organic
5080,Education,MEA,Manager,10-50,Google Ads
5081,Tech,APAC,Director,10-50,Organic
5082,Education,MEA,Manager,10-50,Referral
5083,Education,MEA,Director,51-200,Google Ads
5084,Tech,APAC,Entry,51-200,Webinar
5085,Tech,MEA,Entry,10-50,Google Ads
5086,Tech,APAC,Manager,201-1000,LinkedIn
5087,Tech,North America,Manager,51-200,Google Ads
5088,Retail,Europe,Entry,1000+,Webinar
5089,Healthcare,Europe,Director,51-200,Organic
5090,Healthcare,MEA,Director,10-50,Google Ads
5091,Tech,MEA,Manager,201-1000,Google Ads
5092,Healthcare,MEA,Entry,10-50,Google Ads
